id,ticker
1259,VISAKAIND
1261,WENDT
1262,HDFCAMC
1267,DENORA
1273,STERTOOLS
1274,SHRIRAMFIN
1282,PUNJABCHEM
1292,GULFOILLUB
1294,MIRZAINT
1298,JAGSNPHARM
1302,CREDITACC
1303,INDIANCARD
1309,HITECHGEAR
1310,ELECTHERM
1311,AARTIDRUGS
1312,ALKYLAMINE
1313,JCHAC
1315,MPHASIS
1317,SIGIND
1318,DYNAMATECH
1333,RAMCOIND
1334,KOTHARIPET
1335,HERITGFOOD
1337,AILIMITED
1338,SBCL
1339,BANKBARODA
1340,JSWISPL
1341,SONACOMS
1345,SHYAMMETL
1348,GAIL
1349,SKMEGGPROD
1350,BANKINDIA
1351,INDNIPPON
1353,CONCOR
1361,LAKPRE
1369,KCPSUGIND
1371,RMCL
1372,DODLA
1374,SNOWMAN
1375,KIMS
1379,INDSWFTLAB
1388,SAREGAMA
1393,FDC
1396,ENGINERSIN
1398,MADRASFERT
1401,HINDCON
1404,IPL
1407,ADROITINFO
1408,GANGAFORGE
1410,ICICIBANK
1418,IRCON
1421,SHARDACROP
1430,GOENKA
1432,WALPAR
1433,SVPGLOB
1450,CLEAN
1451,GRINFRA
1454,SPECTRUM
1456,SHEMAROO
1463,ZOMATO
1468,KPIGREEN
1470,SGIL
1478,CIGNITITEC
1479,JAICORPLTD
1484,TATVA
1493,STYLAMIND
1494,KOVAI
1495,GRAUWEIL
1496,GMDCLTD
1497,ANDREWYU
1511,MAHAPEXLTD
1512,AAREYDRUGS
1513,INDUSINDBK
1514,PDSL
1515,GLS
1516,ROLEXRINGS
1517,PRITIKAUTO
1519,NPST
1522,REXPIPES
1523,UGROCAP
1538,EXXARO
1539,KRSNAA
1540,WINDLAS
1541,DEVYANI
1542,ASAHIINDIA
1543,MFL
1544,AAVAS
1545,MOL
1546,NGIL
1547,CARTRADE
1555,NUVOCO
1556,TRIGYN
1557,APTUS
1558,CHEMPLASTS
1560,DUGLOBAL
1569,GRSE
1575,YUKEN
1576,SERVOTECH
1577,JAIPURKURT
1583,KOTHARIPRO
1592,ABMINTLLTD
1608,AMIORG
1609,VIJAYA
1614,INTLCONV
1615,ASTRAZEN
1616,GANESHBE
1617,3RDROCK
1618,ITDCEM
1619,PAR
1621,SHANTI
1622,BEWLTD
1631,ARCHIES
1635,CUB
1646,CYIENT
1647,SANSERA
1651,BKMINDST
1670,LAGNAM
1671,QUADPRO
1688,AXISBANK
1689,PARAS
1691,INTELLECT
1692,MONTECARLO
1693,UWCSL
1694,SOUTHBANK
1715,COASTCORP
1716,JAINAM
1717,ABSLAMC
1718,EIFFL
1719,PASUPTAC
1721,CYBERTECH
1722,BMETRICS
1724,ATGL
1725,AIROLAM
1726,DYNAMIC
1727,DESTINY
1738,GOODLUCK
1739,DIGJAMLMTD
1741,PANSARI
1743,ARTNIRMAN
1744,BHAGCHEM
1753,FCL
1760,CAMLINFINE
1761,SIKKO
1762,DTIL
1763,3IINFOLTD
1765,DKEGL
1768,SELMC
1769,MEDICAMEQ
1770,GULPOLY
1772,APOLSINHOT
1787,NATIONALUM
1788,CCHHL
1789,LAMBODHARA
1790,KRITI
1791,MANORG
1793,KOTYARK
